year_filter,date,article_id,title,filename,chars,is_short,status
2023,2023-07-01,40025458,《求是》杂志发表习近平总书记重要文章 努力成长为对党和人民忠诚可靠、堪当时代重任的栋梁之才,2023-07-01__40025458__《求是》杂志发表习近平总书记重要文章 努力成长为对党和人民忠诚可靠、堪当时代重任的栋梁之才.txt,1733,0,ok
2023,2023-06-30,40025164,努力成长为对党和人民忠诚可靠、堪当时代重任的栋梁之才,2023-06-30__40025164__努力成长为对党和人民忠诚可靠、堪当时代重任的栋梁之才.txt,9815,0,ok
2023,2023-06-15,40014314,健全全面从严治党体系 推动新时代党的建设新的伟大工程向纵深发展,2023-06-15__40014314__健全全面从严治党体系 推动新时代党的建设新的伟大工程向纵深发展.txt,2448,0,ok
2023,2023-06-10,40010474,习近平在内蒙古调研边境管控和边防部队建设情况时强调 加强部队全面建设  提高边境防卫管控能力 努力锻造卫国戍边钢铁长城,2023-06-10__40010474__习近平在内蒙古调研边境管控和边防部队建设情况时强调 加强部队全面建设 提高边境防卫管控能力 努力锻造卫国戍边钢铁长城.txt,1789,0,ok
2023,2023-06-01,40003978,中国式现代化是中国共产党领导的社会主义现代化,2023-06-01__40003978__中国式现代化是中国共产党领导的社会主义现代化.txt,2053,0,ok
2023,2023-05-20,32690647,"携手建设守望相助、共同发展、普遍安全、世代友好的中国—中亚命运共同体——在中国—中亚峰会上的主旨讲话
（2023年5月19日）",2023-05-20__32690647__携手建设守望相助、共同发展、普遍安全、世代友好的中国—中亚命运共同体——在中国—中亚峰会上的主旨讲话 （2023年5月19日）.txt,2773,0,ok
2023,2023-05-01,32676959,在“五一”国际劳动节到来之际 习近平向全国广大劳动群众致以节日的祝贺和诚挚的慰问,2023-05-01__32676959__在“五一”国际劳动节到来之际 习近平向全国广大劳动群众致以节日的祝贺和诚挚的慰问.txt,330,1,ok
2023,2023-04-30,32676787,在学习贯彻习近平新时代中国特色社会主义思想主题教育工作会议上的讲话,2023-04-30__32676787__在学习贯彻习近平新时代中国特色社会主义思想主题教育工作会议上的讲话.txt,8351,0,ok
2023,2023-04-15,32665273,加快构建新发展格局　把握未来发展主动权,2023-04-15__32665273__加快构建新发展格局 把握未来发展主动权.txt,3160,0,ok
2023,2023-03-31,32655388,在中央党校建校90周年庆祝大会暨2023年春季学期开学典礼上的讲话,2023-03-31__32655388__在中央党校建校90周年庆祝大会暨2023年春季学期开学典礼上的讲话.txt,7453,0,ok
2023,2023-03-16,32645371,"携手同行现代化之路——在中国共产党与世界政党高层对话会上的主旨讲话
（2023年3月15日，北京）",2023-03-16__32645371__携手同行现代化之路——在中国共产党与世界政党高层对话会上的主旨讲话 （2023年3月15日，北京）.txt,3323,0,ok
2023,2023-03-16,32645365,《求是》杂志发表习近平总书记重要文章 加快建设农业强国  推进农业农村现代化,2023-03-16__32645365__《求是》杂志发表习近平总书记重要文章 加快建设农业强国 推进农业农村现代化.txt,1922,0,ok
2023,2023-03-15,32644965,加快建设农业强国　推进农业农村现代化,2023-03-15__32644965__加快建设农业强国 推进农业农村现代化.txt,10585,0,ok
2023,2023-03-14,32643813,在第十四届全国人民代表大会第一次会议上的讲话（2023年3月13日）,2023-03-14__32643813__在第十四届全国人民代表大会第一次会议上的讲话（2023年3月13日）.txt,1909,0,ok
2023,2023-03-13,32643601,习近平：在第十四届全国人民代表大会第一次会议上的讲话,2023-03-13__32643601__习近平：在第十四届全国人民代表大会第一次会议上的讲话.txt,1919,0,ok
2023,2023-03-01,32634072,习近平在中央党校建校90周年庆祝大会暨2023年春季学期开学典礼上发表重要讲话强调 坚守党校初心 努力为党育才为党献策,2023-03-01__32634072__习近平在中央党校建校90周年庆祝大会暨2023年春季学期开学典礼上发表重要讲话强调 坚守党校初心 努力为党育才为党献策.txt,2275,0,ok
2023,2023-02-15,32624401,当前经济工作的几个重大问题,2023-02-15__32624401__当前经济工作的几个重大问题.txt,3907,0,ok
2023,2023-02-15,32624400,《求是》杂志发表习近平总书记重要文章《当前经济工作的几个重大问题》,2023-02-15__32624400__《求是》杂志发表习近平总书记重要文章《当前经济工作的几个重大问题》.txt,1030,0,ok
2023,2023-01-31,32615326,全面从严治党探索出依靠党的自我革命跳出历史周期率的成功路径,2023-01-31__32615326__全面从严治党探索出依靠党的自我革命跳出历史周期率的成功路径.txt,4629,0,ok
2023,2023-01-26,32612221,习近平向拉美和加勒比国家共同体第七届峰会作视频致辞,2023-01-26__32612221__习近平向拉美和加勒比国家共同体第七届峰会作视频致辞.txt,707,1,ok
2023,2023-01-25,32612014,习近平向拉美和加勒比国家共同体第七届峰会作视频致辞,2023-01-25__32612014__习近平向拉美和加勒比国家共同体第七届峰会作视频致辞.txt,501,1,ok
2023,2023-01-21,32610969,在二〇二三年春节团拜会上的讲话（二〇二三年一月二十日）,2023-01-21__32610969__在二〇二三年春节团拜会上的讲话（二〇二三年一月二十日）.txt,1433,0,ok
2023,2023-01-19,32609735,习近平春节前夕视频连线看望慰问基层干部群众 向全国各族人民致以新春的美好祝福 祝各族人民幸福安康  祝愿伟大祖国繁荣昌盛李强蔡奇丁薛祥陪同看望慰问,2023-01-19__32609735__习近平春节前夕视频连线看望慰问基层干部群众 向全国各族人民致以新春的美好祝福 祝各族人民幸福安康 祝愿伟大祖国繁荣昌盛李强蔡奇丁薛祥陪同看望慰问.txt,5787,0,ok
2023,2023-01-16,32607135,《求是》杂志发表习近平总书记重要文章 在二十届中央政治局第一次集体学习时的讲话,2023-01-16__32607135__《求是》杂志发表习近平总书记重要文章 在二十届中央政治局第一次集体学习时的讲话.txt,1271,0,ok
2023,2023-01-15,32606893,在二十届中央政治局第一次集体学习时的讲话,2023-01-15__32606893__在二十届中央政治局第一次集体学习时的讲话.txt,3623,0,ok
2023,2023-01-09,32602947,习近平在二十届中央纪委二次全会上发表重要讲话,2023-01-09__32602947__习近平在二十届中央纪委二次全会上发表重要讲话.txt,3322,0,ok
2023,2023-01-01,32597789,国家主席习近平发表二〇二三年新年贺词,2023-01-01__32597789__国家主席习近平发表二〇二三年新年贺词.txt,2621,0,ok
